test,duration_ms
client,358.926
cloud,50348.797
enclave,39199.468
client,437.714
cloud,50320.488
enclave,39290.488
client,673.223
cloud,49394.642
enclave,38715.287
client,349.518
cloud,49858.102
enclave,38800.757
client,765.428
cloud,49849.204
enclave,39032.744
client,1174.928
cloud,49274.89
enclave,38673.024
client,1086.18
cloud,49367.879
enclave,38807.59
client,178.381
cloud,49300.47
enclave,38748.747
client,398.944
cloud,49351.305
enclave,38764.017
client,594.03
cloud,49435.98
enclave,38818.729
client,466.132
cloud,49163.794
enclave,38637.298
client,592.018
cloud,49148.585
enclave,38716.138
client,158.677
cloud,48995.548
enclave,38542.805
client,430.076
cloud,48970.596
enclave,38481.199
client,581.931
cloud,49646.511
enclave,39037.266
client,418.829
cloud,49613.109
enclave,38937.084
client,385.151
cloud,49101.564
enclave,38530.149
client,1234.993
cloud,49543.538
enclave,38885.95
client,612.057
cloud,49312.027
enclave,38850.474
client,727.396
cloud,49831.638
enclave,39210.391
client,305.658
cloud,49771.161
enclave,39102.525
client,533.281
cloud,49399.64
enclave,38906.132
client,898.329
cloud,49458.203
enclave,38669.675
client,459.27
cloud,50041.221
enclave,39127.744
client,334.127
cloud,49570.663
enclave,38753.441
client,784.386
cloud,49706.68
enclave,38901.797
client,928.832
cloud,49597.635
enclave,38731.882
client,230.21
cloud,49224.461
enclave,38568.86
client,293.412
cloud,49456.856
enclave,38623.4
client,668.617
cloud,49867.11
enclave,39288.867
client,481.704
cloud,49628.714
enclave,38932.157
client,314.124
cloud,49241.942
enclave,38674.794
client,154.25
cloud,49307.107
enclave,38649.377
client,851.718
cloud,49382.14
enclave,38745.757
client,447.495
cloud,49394.99
enclave,38746.941
client,488.909
cloud,49537.303
enclave,38710.805
client,465.114
cloud,49143.789
enclave,38555.07
client,740.126
cloud,49553.064
enclave,38896.516
client,725.607
cloud,48757.094
enclave,38301.44
client,156.875
cloud,49649.48
enclave,38770.051
client,415.85
cloud,49415.909
enclave,38881.791
client,233.456
cloud,49248.193
enclave,38723.513
client,1449.623
cloud,49272.004
enclave,38638.586
client,184.426
cloud,49458.451
enclave,38911.031
client,918.863
cloud,49316.692
enclave,38683.931
client,904.19
cloud,49471.137
enclave,38788.597
client,129.754
cloud,49424.203
enclave,38826.48
client,713.681
cloud,49448.951
enclave,38827.488
client,596.475
cloud,49482.816
enclave,38822.022
client,635.57
cloud,49127.777
enclave,38719.215
client,935.297
cloud,49225.807
enclave,38641.317
client,463.033
cloud,49810.875
enclave,38787.582
client,1137.603
cloud,49499.017
enclave,38947.819
client,1123.285
cloud,49417.929
enclave,38711.174
client,932.888
cloud,49456.263
enclave,38733.696
client,440.78
cloud,49640.283
enclave,38703.794
client,689.124
cloud,49411.601
enclave,38812.286
client,1267.427
cloud,49481.335
enclave,38822.403
client,723.626
cloud,49671.89
enclave,38937.834
client,314.451
cloud,49435.846
enclave,38805.787
client,246.235
cloud,49783.032
enclave,39230.366
client,529.523
cloud,49151.539
enclave,38588.913
client,209.462
cloud,49535.595
enclave,38723.935
client,361.492
cloud,49638.905
enclave,39109.808
client,1059.951
cloud,49429.054
enclave,38626.016
client,756.96
cloud,49090.756
enclave,38553.748
client,240.814
cloud,49175.36
enclave,38485.688
client,471.563
cloud,49337.165
enclave,38630.08
client,365.873
cloud,49390.283
enclave,38800.419
client,945.856
cloud,49153.979
enclave,38351.465
client,760.496
cloud,49129.586
enclave,38479.292
client,568.65
cloud,49299.084
enclave,38560.036
client,523.166
cloud,49212.873
enclave,38519.43
client,136.747
cloud,49184.751
enclave,38618.048
client,1574.677
cloud,49267.962
enclave,38550.473
client,839.272
cloud,49671.303
enclave,39194.446
client,361.267
cloud,49152.714
enclave,38587.578
client,272.692
cloud,48552.921
enclave,38294.424
client,417.97
cloud,49367.839
enclave,38819.796
client,866.068
cloud,49304.034
enclave,38823.035
client,110.416
cloud,49577.575
enclave,38795.215
client,542.338
cloud,49271.809
enclave,38651.366
client,597.208
cloud,49100.577
enclave,38553.473
client,527.958
cloud,49312.782
enclave,38501.852
client,634.696
cloud,49350.804
enclave,38653.426
client,680.984
cloud,49465.354
enclave,38796.225
client,320.067
cloud,49606.429
enclave,38918.122
client,572.656
cloud,49112.413
enclave,38589.02
client,1075.729
cloud,49207.499
enclave,38743.522
client,220.551
cloud,49613.813
enclave,38833.034
client,182.926
cloud,49243.926
enclave,38594.093
client,362.221
cloud,49296.676
enclave,38647.672
client,788.844
cloud,49465.744
enclave,38704.286
client,87.714
cloud,49989.512
enclave,39226.162
client,462.551
cloud,49148.986
enclave,38442.399
client,1156.58
cloud,48955.565
enclave,38629.337
client,100.549
cloud,49179.48
enclave,38561.014
client,387.53
cloud,49005.249
enclave,38517.786
client,522.404
cloud,49258.815
enclave,38757.624
client,131.835
cloud,49293.719
enclave,38607.624
