test,duration_ms
client,16.292
cloud,59.971
enclave,1.552
client,37.742
cloud,57.224
enclave,1.538
client,18.522
cloud,43.405
enclave,1.556
client,60.729
cloud,54.481
enclave,1.537
client,15.839
cloud,41.804
enclave,1.534
client,17.447
cloud,56.503
enclave,1.56
client,19.003
cloud,57.155
enclave,1.561
client,16.883
cloud,73.285
enclave,1.535
client,16.207
cloud,44.765
enclave,1.532
client,17.511
cloud,52.337
enclave,1.529
client,25.588
cloud,42.665
enclave,1.528
client,16.76
cloud,56.15
enclave,1.557
client,16.043
cloud,45.784
enclave,1.556
client,16.67
cloud,52.205
enclave,1.531
client,16.934
cloud,50.777
enclave,1.529
client,16.857
cloud,43.014
enclave,1.531
client,17.572
cloud,54.495
enclave,1.525
client,17.425
cloud,43.489
enclave,1.548
client,16.609
cloud,69.245
enclave,1.558
client,17.304
cloud,45.313
enclave,1.564
client,17.591
cloud,44.78
enclave,1.552
client,16.97
cloud,45.484
enclave,1.528
client,17.882
cloud,42.124
enclave,1.522
client,17.456
cloud,44.252
enclave,1.557
client,17.6
cloud,43.126
enclave,1.685
client,16.295
cloud,42.702
enclave,1.529
client,17.186
cloud,44.101
enclave,1.533
client,16.142
cloud,45.061
enclave,1.53
client,18.052
cloud,50.858
enclave,1.538
client,17.95
cloud,51.672
enclave,1.532
client,18.438
cloud,45.02
enclave,1.534
client,16.339
cloud,42.618
enclave,1.53
client,16.743
cloud,56.712
enclave,1.532
client,30.522
cloud,56.054
enclave,1.533
client,17.162
cloud,56.304
enclave,1.557
client,16.392
cloud,55.383
enclave,1.583
client,17.139
cloud,53.076
enclave,1.526
client,17.645
cloud,50.104
enclave,1.524
client,17.51
cloud,44.088
enclave,1.521
client,16.719
cloud,41.801
enclave,1.529
client,15.675
cloud,44.783
enclave,1.529
client,16.435
cloud,51.955
enclave,1.558
client,16.882
cloud,56.941
enclave,1.569
client,16.46
cloud,52.911
enclave,1.53
client,18.979
cloud,43.739
enclave,1.526
client,17.269
cloud,42.406
enclave,1.531
client,16.782
cloud,45.423
enclave,1.528
client,16.889
cloud,42.457
enclave,1.535
client,28.527
cloud,65.085
enclave,1.529
client,17.583
cloud,52.951
enclave,1.556
client,17.861
cloud,52.689
enclave,1.532
client,16.884
cloud,46.659
enclave,1.558
client,16.218
cloud,58.509
enclave,1.534
client,17.626
cloud,52.693
enclave,1.565
client,17.23
cloud,45.29
enclave,1.53
client,17.374
cloud,50.903
enclave,1.553
client,15.076
cloud,50.977
enclave,1.533
client,17.149
cloud,44.022
enclave,1.532
client,16.453
cloud,49.276
enclave,1.527
client,16.59
cloud,48.914
enclave,1.526
client,16.516
cloud,55.535
enclave,1.53
client,16.938
cloud,57.818
enclave,1.563
client,16.226
cloud,44.098
enclave,1.531
client,36.155
cloud,67.283
enclave,1.549
client,18.761
cloud,53.476
enclave,1.547
client,16.936
cloud,55.28
enclave,1.557
client,17.992
cloud,45.741
enclave,1.529
client,25.411
cloud,64.122
enclave,1.524
client,18.733
cloud,43.506
enclave,1.53
client,16.347
cloud,43.935
enclave,1.554
client,16.514
cloud,42.539
enclave,1.532
client,17.066
cloud,51.229
enclave,1.525
client,17.128
cloud,43.646
enclave,1.547
client,16.344
cloud,56.283
enclave,1.533
client,16.548
cloud,50.075
enclave,1.552
client,20.579
cloud,40.336
enclave,1.556
client,15.49
cloud,53.184
enclave,1.561
client,14.747
cloud,56.036
enclave,1.53
client,16.004
cloud,50.057
enclave,1.521
client,16.622
cloud,39.638
enclave,1.523
client,15.854
cloud,42.199
enclave,1.53
client,16.731
cloud,40.65
enclave,1.529
client,17.323
cloud,42.262
enclave,1.532
client,17.418
cloud,45.3
enclave,1.58
client,16.398
cloud,41.554
enclave,1.531
client,16.494
cloud,44.342
enclave,1.54
client,16.439
cloud,49.744
enclave,1.531
client,17.985
cloud,44.21
enclave,1.566
client,16.949
cloud,49.174
enclave,1.563
client,15.394
cloud,41.67
enclave,1.547
client,16.166
cloud,53.092
enclave,1.585
client,16.913
cloud,50.74
enclave,1.524
client,16.344
cloud,41.091
enclave,1.558
client,16.382
cloud,42.659
enclave,1.532
client,17.536
cloud,40.043
enclave,1.537
client,16.109
cloud,55.331
enclave,1.567
client,17.375
cloud,59.659
enclave,1.53
client,16.603
cloud,42.572
enclave,1.547
client,16.215
cloud,60.663
enclave,1.552
client,16.327
cloud,41.158
enclave,1.534
