test,duration_ms
client,4.444
cloud,16.253
client,1.59
cloud,15.917
client,1.493
cloud,16.385
client,1.528
cloud,16.385
client,1.788
cloud,16.293
client,1.222
cloud,17.97
client,1.608
cloud,16.494
client,1.622
cloud,16.317
client,1.541
cloud,16.434
client,1.492
cloud,16.257
client,1.316
cloud,15.953
client,1.634
cloud,16.115
client,1.418
cloud,16.124
client,1.553
cloud,15.972
client,1.622
cloud,50.683
client,1.538
cloud,16.011
client,1.464
cloud,15.96
client,1.385
cloud,15.798
client,1.419
cloud,16.002
client,1.19
cloud,16.494
client,1.58
cloud,16.818
client,1.739
cloud,17.723
client,1.495
cloud,17.074
client,1.446
cloud,17.271
client,1.428
cloud,16.537
client,1.355
cloud,16.205
client,1.594
cloud,16.535
client,1.501
cloud,16.831
client,1.45
cloud,29.687
client,1.885
cloud,28.283
client,1.67
cloud,17.049
client,1.548
cloud,16.752
client,1.677
cloud,16.185
client,1.559
cloud,16.914
client,1.448
cloud,17.378
client,1.59
cloud,18.516
client,1.728
cloud,16.929
client,1.555
cloud,17.021
client,2.172
cloud,16.014
client,1.613
cloud,16.401
client,1.627
cloud,16.085
client,1.63
cloud,18.372
client,1.538
cloud,17.174
client,1.409
cloud,16.441
client,1.683
cloud,16.314
client,1.61
cloud,16.377
client,1.399
cloud,17.672
client,1.536
cloud,17.279
client,1.368
cloud,16.754
client,1.551
cloud,16.81
client,1.681
cloud,17.293
client,1.551
cloud,16.659
client,1.617
cloud,17.21
client,1.505
cloud,16.59
client,1.454
cloud,16.144
client,1.508
cloud,18.611
client,1.43
cloud,17.427
client,1.589
cloud,16.926
client,1.491
cloud,16.72
client,1.646
cloud,17.231
client,1.542
cloud,17.869
client,1.549
cloud,17.453
client,1.663
cloud,16.789
client,1.501
cloud,17.347
client,1.506
cloud,16.722
client,1.574
cloud,17.614
client,1.71
cloud,25.227
client,1.617
cloud,18.684
client,1.475
cloud,16.956
client,1.613
cloud,17.354
client,1.581
cloud,17.56
client,1.494
cloud,17.058
client,1.845
cloud,16.977
client,2.056
cloud,17.144
client,2.449
cloud,17.713
client,1.145
cloud,26.362
client,1.864
cloud,35.669
client,2.102
cloud,16.502
client,1.592
cloud,17.018
client,1.421
cloud,18.486
client,1.304
cloud,33.062
client,1.946
cloud,16.754
client,1.419
cloud,21.738
client,1.408
cloud,17.104
client,1.426
cloud,32.198
client,1.491
cloud,17.124
client,1.439
cloud,21.25
client,1.708
cloud,17.611
client,1.436
cloud,16.819
client,1.589
cloud,16.748
client,1.467
cloud,19.971
client,1.521
cloud,17.297
client,1.469
cloud,17.241
client,1.463
cloud,17.149
client,1.649
cloud,17.943
client,1.539
cloud,17.62
client,1.51
cloud,17.768
client,1.699
cloud,23.575
client,1.472
cloud,17.765
client,1.324
cloud,17.108
