test,duration_ms
client,41.039
cloud,62.379
enclave,29.576
client,33.85
cloud,73.721
enclave,29.376
client,35.691
cloud,82.75
enclave,29.487
client,41.121
cloud,62.426
enclave,29.421
client,69.143
cloud,67.578
enclave,29.519
client,40.893
cloud,72.685
enclave,29.588
client,35.038
cloud,76.3
enclave,29.386
client,37.154
cloud,59.458
enclave,29.425
client,61.08
cloud,71.815
enclave,29.464
client,51.046
cloud,60.66
enclave,29.54
client,35.633
cloud,76.993
enclave,29.604
client,38.451
cloud,71.866
enclave,29.388
client,50.155
cloud,102.108
enclave,29.408
client,43.063
cloud,60.344
enclave,29.481
client,38.769
cloud,71.195
enclave,29.507
client,43.177
cloud,76.888
enclave,29.428
client,32.59
cloud,60.313
enclave,29.487
client,37.631
cloud,78.703
enclave,29.377
client,35.227
cloud,72.327
enclave,29.582
client,35.798
cloud,75.305
enclave,29.422
client,37.192
cloud,70.748
enclave,29.678
client,34.022
cloud,63.686
enclave,29.61
client,34.787
cloud,85.87
enclave,29.314
client,35.544
cloud,57.591
enclave,29.398
client,34.994
cloud,73.421
enclave,29.206
client,35.056
cloud,62.927
enclave,29.525
client,35.945
cloud,60.958
enclave,29.364
client,47.633
cloud,71.396
enclave,29.562
client,37.978
cloud,73.076
enclave,29.359
client,50.273
cloud,74.237
enclave,29.293
client,37.91
cloud,63.616
enclave,29.376
client,38.962
cloud,71.461
enclave,29.369
client,35.778
cloud,61.384
enclave,29.335
client,38.779
cloud,67.217
enclave,29.57
client,36.138
cloud,62.754
enclave,29.334
client,38.871
cloud,60.485
enclave,29.598
client,38.01
cloud,61.085
enclave,29.447
client,36.603
cloud,71.316
enclave,29.389
client,35.505
cloud,71.933
enclave,29.45
client,36.812
cloud,71.859
enclave,29.524
client,47.554
cloud,62.153
enclave,29.292
client,35.804
cloud,72.372
enclave,29.529
client,37.573
cloud,76.593
enclave,29.419
client,33.912
cloud,97.44
enclave,29.313
client,39.795
cloud,72.849
enclave,29.576
client,36.796
cloud,61.475
enclave,29.46
client,59.852
cloud,68.89
enclave,29.454
client,46.379
cloud,73.289
enclave,29.668
client,32.857
cloud,64.535
enclave,29.37
client,34.622
cloud,62.508
enclave,29.265
client,34.094
cloud,77.585
enclave,29.249
client,36.29
cloud,75.955
enclave,29.247
client,41.755
cloud,76.804
enclave,29.293
client,39.383
cloud,62.487
enclave,29.391
client,54.129
cloud,77.82
enclave,29.257
client,43.902
cloud,74.204
enclave,29.373
client,52.922
cloud,61.182
enclave,29.569
client,64.296
cloud,92.84
enclave,29.359
client,62.426
cloud,79.289
enclave,29.244
client,38.434
cloud,71.349
enclave,29.286
client,34.965
cloud,69.712
enclave,29.212
client,35.978
cloud,77.137
enclave,29.341
client,36.407
cloud,58.999
enclave,29.264
client,41.599
cloud,61.271
enclave,29.251
client,36.47
cloud,61.7
enclave,29.454
client,35.438
cloud,71.753
enclave,29.341
client,36.044
cloud,60.092
enclave,29.243
client,38.543
cloud,69.788
enclave,29.614
client,36.468
cloud,62.725
enclave,29.396
client,36.1
cloud,59.718
enclave,29.333
client,38.764
cloud,87.492
enclave,29.219
client,35.536
cloud,73.456
enclave,29.268
client,35.392
cloud,73.176
enclave,29.127
client,34.998
cloud,62.658
enclave,29.319
client,36.612
cloud,75.557
enclave,29.247
client,39.796
cloud,70.475
enclave,29.244
client,36.762
cloud,75.479
enclave,29.433
client,53.593
cloud,62.214
enclave,29.372
client,38.391
cloud,72.454
enclave,29.27
client,47.689
cloud,60.985
enclave,29.558
client,35.918
cloud,72.068
enclave,29.314
client,35.998
cloud,71.283
enclave,29.439
client,52.205
cloud,86.938
enclave,29.269
client,34.618
cloud,60.427
enclave,29.299
client,38.803
cloud,64.016
enclave,29.335
client,34.484
cloud,79.259
enclave,29.553
client,50.422
cloud,63.837
enclave,29.496
client,34.122
cloud,60.89
enclave,29.514
client,37.948
cloud,77.818
enclave,29.274
client,39.633
cloud,78.848
enclave,29.648
client,56.383
cloud,92.935
enclave,29.529
client,35.77
cloud,74.505
enclave,29.397
client,36.665
cloud,61.272
enclave,29.365
client,35.635
cloud,61.378
enclave,29.436
client,37.874
cloud,85.264
enclave,29.376
client,54.164
cloud,62.64
enclave,29.388
client,39.003
cloud,76.053
enclave,29.844
client,49.985
cloud,71.224
enclave,29.437
client,38.649
cloud,67.465
enclave,29.318
client,41.253
cloud,87.911
enclave,29.415
